X,s,t,p
40000000.0,0,0,0
20000000.0,0,0,1
10000000.0,0,0,2
40000000.0,1,0,0
20000000.0,1,0,1
10000000.0,1,0,2
19600000.0,2,0,0
40000000.0,2,0,1
20000000.0,2,0,2
43200000.0,0,1,0
21600000.0,0,1,1
10800000.0,0,1,2
43200000.0,1,1,0
21600000.0,1,1,1
10800000.0,1,1,2
0.0,2,1,0
63200000.0,2,1,1
31600000.0,2,1,2
49856000.0,0,2,0
24928000.0,0,2,1
12464000.0,0,2,2
49856000.0,1,2,0
24928000.0,1,2,1
12464000.0,1,2,2
1664000.0,2,2,0
69856000.0,2,2,1
34928000.0,2,2,2
57044480.0,0,3,0
28522240.0,0,3,1
14261120.0,0,3,2
57044480.0,1,3,0
28522240.0,1,3,1
14261120.0,1,3,2
3461120.0,2,3,0
77044480.0,2,3,1
38522240.0,2,3,2
64808038.0,0,4,0
32404019.0,0,4,1
16202010.0,0,4,2
64808038.0,1,4,0
32404019.0,1,4,1
16202010.0,1,4,2
5402010.0,2,4,0
84808038.0,2,4,1
42404019.0,2,4,2
73192681.0,0,5,0
36596341.0,0,5,1
18298171.0,0,5,2
73192681.0,1,5,0
36596341.0,1,5,1
18298171.0,1,5,2
7498171.0,2,5,0
93192681.0,2,5,1
46596341.0,2,5,2
82248096.0,0,6,0
41124048.0,0,6,1
20562024.0,0,6,2
82248096.0,1,6,0
41124048.0,1,6,1
20562024.0,1,6,2
9762024.0,2,6,0
102248096.0,2,6,1
51124048.0,2,6,2
92027944.0,0,7,0
46013971.0,0,7,1
23006986.0,0,7,2
92027944.0,1,7,0
46013971.0,1,7,1
23006986.0,1,7,2
12206986.0,2,7,0
112027944.0,2,7,1
56013971.0,2,7,2
102590179.0,0,8,0
51295089.0,0,8,1
25647545.0,0,8,2
102590179.0,1,8,0
51295089.0,1,8,1
25647545.0,1,8,2
14847545.0,2,8,0
122590179.0,2,8,1
61295089.0,2,8,2
113997393.0,0,9,0
56998697.0,0,9,1
28499348.0,0,9,2
113997393.0,1,9,0
56998697.0,1,9,1
28499348.0,1,9,2
17699348.0,2,9,0
133997393.0,2,9,1
66998697.0,2,9,2
126317185.0,0,10,0
63158593.0,0,10,1
31579296.0,0,10,2
126317185.0,1,10,0
63158593.0,1,10,1
31579296.0,1,10,2
20779296.0,2,10,0
146317185.0,2,10,1
73158593.0,2,10,2
139622560.0,0,11,0
69811280.0,0,11,1
34905640.0,0,11,2
139622560.0,1,11,0
69811280.0,1,11,1
34905640.0,1,11,2
24105640.0,2,11,0
159622560.0,2,11,1
79811280.0,2,11,2
153992365.0,0,12,0
76996182.0,0,12,1
38498091.0,0,12,2
153992365.0,1,12,0
76996182.0,1,12,1
38498091.0,1,12,2
27698091.0,2,12,0
173992365.0,2,12,1
86996182.0,2,12,2
169511754.0,0,13,0
84755877.0,0,13,1
42377938.0,0,13,2
169511754.0,1,13,0
84755877.0,1,13,1
42377938.0,1,13,2
31577938.0,2,13,0
189511754.0,2,13,1
94755877.0,2,13,2
186272694.0,0,14,0
93136347.0,0,14,1
46568173.0,0,14,2
186272694.0,1,14,0
93136347.0,1,14,1
46568173.0,1,14,2
35768173.0,2,14,0
206272694.0,2,14,1
103136347.0,2,14,2
204374510.0,0,15,0
102187254.0,0,15,1
51093627.0,0,15,2
204374510.0,1,15,0
102187254.0,1,15,1
51093627.0,1,15,2
40293627.0,2,15,0
224374510.0,2,15,1
112187254.0,2,15,2
223924471.0,0,16,0
111962235.0,0,16,1
55981117.0,0,16,2
223924471.0,1,16,0
111962235.0,1,16,1
55981117.0,1,16,2
45181117.0,2,16,0
243924471.0,2,16,1
121962235.0,2,16,2
245038428.0,0,17,0
122519214.0,0,17,1
61259607.0,0,17,2
245038428.0,1,17,0
122519214.0,1,17,1
61259607.0,1,17,2
50459607.0,2,17,0
265038428.0,2,17,1
132519214.0,2,17,2
267841502.0,0,18,0
133920751.0,0,18,1
66960376.0,0,18,2
267841502.0,1,18,0
133920751.0,1,18,1
66960376.0,1,18,2
56160376.0,2,18,0
287841502.0,2,18,1
143920751.0,2,18,2
292468822.0,0,19,0
146234411.0,0,19,1
73117206.0,0,19,2
292468822.0,1,19,0
146234411.0,1,19,1
73117206.0,1,19,2
62317206.0,2,19,0
312468822.0,2,19,1
156234411.0,2,19,2
319066328.0,0,20,0
159533164.0,0,20,1
79766582.0,0,20,2
319066328.0,1,20,0
159533164.0,1,20,1
79766582.0,1,20,2
68966582.0,2,20,0
339066328.0,2,20,1
169533164.0,2,20,2
347791635.0,0,21,0
173895817.0,0,21,1
86947908.0,0,21,2
347791635.0,1,21,0
173895817.0,1,21,1
86947908.0,1,21,2
76147908.0,2,21,0
367791635.0,2,21,1
183895817.0,2,21,2
378814966.0,0,22,0
189407482.0,0,22,1
94703741.0,0,22,2
378814966.0,1,22,0
189407482.0,1,22,1
94703741.0,1,22,2
83903741.0,2,22,0
398814966.0,2,22,1
199407482.0,2,22,2
412320163.0,0,23,0
206160081.0,0,23,1
103080040.0,0,23,2
412320163.0,1,23,0
206160081.0,1,23,1
103080040.0,1,23,2
92280040.0,2,23,0
432320163.0,2,23,1
216160081.0,2,23,2
448505775.0,0,24,0
224252888.0,0,24,1
112126443.0,0,24,2
448505775.0,1,24,0
224252888.0,1,24,1
112126443.0,1,24,2
101326443.0,2,24,0
468505775.0,2,24,1
234252888.0,2,24,2
