Z,s,p,t
40000000.0,0,0,0
20000000.0,0,1,0
10000000.0,0,2,0
40000000.0,1,0,0
20000000.0,1,1,0
10000000.0,1,2,0
30400000.0,2,0,0
20000000.0,2,1,0
10000000.0,2,2,0
40000000.0,0,0,1
20000000.0,0,1,1
10000000.0,0,2,1
40000000.0,1,0,1
20000000.0,1,1,1
10000000.0,1,2,1
10000000.0,2,0,1
40000000.0,2,1,1
20000000.0,2,2,1
43200000.0,0,0,2
21600000.0,0,1,2
10800000.0,0,2,2
43200000.0,1,0,2
21600000.0,1,1,2
10800000.0,1,2,2
10800000.0,2,0,2
43200000.0,2,1,2
21600000.0,2,2,2
46656000.0,0,0,3
23328000.0,0,1,3
11664000.0,0,2,3
46656000.0,1,0,3
23328000.0,1,1,3
11664000.0,1,2,3
11664000.0,2,0,3
46656000.0,2,1,3
23328000.0,2,2,3
50388480.0,0,0,4
25194240.0,0,1,4
12597120.0,0,2,4
50388480.0,1,0,4
25194240.0,1,1,4
12597120.0,1,2,4
12597120.0,2,0,4
50388480.0,2,1,4
25194240.0,2,2,4
54419558.0,0,0,5
27209779.0,0,1,5
13604890.0,0,2,5
54419558.0,1,0,5
27209779.0,1,1,5
13604890.0,1,2,5
13604890.0,2,0,5
54419558.0,2,1,5
27209779.0,2,2,5
58773123.0,0,0,6
29386562.0,0,1,6
14693281.0,0,2,6
58773123.0,1,0,6
29386562.0,1,1,6
14693281.0,1,2,6
14693281.0,2,0,6
58773123.0,2,1,6
29386562.0,2,2,6
63474973.0,0,0,7
31737486.0,0,1,7
15868743.0,0,2,7
63474973.0,1,0,7
31737486.0,1,1,7
15868743.0,1,2,7
15868743.0,2,0,7
63474973.0,2,1,7
31737486.0,2,2,7
68552971.0,0,0,8
34276485.0,0,1,8
17138243.0,0,2,8
68552971.0,1,0,8
34276485.0,1,1,8
17138243.0,1,2,8
17138243.0,2,0,8
68552971.0,2,1,8
34276485.0,2,2,8
74037208.0,0,0,9
37018604.0,0,1,9
18509302.0,0,2,9
74037208.0,1,0,9
37018604.0,1,1,9
18509302.0,1,2,9
18509302.0,2,0,9
74037208.0,2,1,9
37018604.0,2,2,9
79960185.0,0,0,10
39980093.0,0,1,10
19990046.0,0,2,10
79960185.0,1,0,10
39980093.0,1,1,10
19990046.0,1,2,10
19990046.0,2,0,10
79960185.0,2,1,10
39980093.0,2,2,10
86357000.0,0,0,11
43178500.0,0,1,11
21589250.0,0,2,11
86357000.0,1,0,11
43178500.0,1,1,11
21589250.0,1,2,11
21589250.0,2,0,11
86357000.0,2,1,11
43178500.0,2,2,11
93265560.0,0,0,12
46632780.0,0,1,12
23316390.0,0,2,12
93265560.0,1,0,12
46632780.0,1,1,12
23316390.0,1,2,12
23316390.0,2,0,12
93265560.0,2,1,12
46632780.0,2,2,12
100726805.0,0,0,13
50363402.0,0,1,13
25181701.0,0,2,13
100726805.0,1,0,13
50363402.0,1,1,13
25181701.0,1,2,13
25181701.0,2,0,13
100726805.0,2,1,13
50363402.0,2,2,13
108784949.0,0,0,14
54392475.0,0,1,14
27196237.0,0,2,14
108784949.0,1,0,14
54392475.0,1,1,14
27196237.0,1,2,14
27196237.0,2,0,14
108784949.0,2,1,14
54392475.0,2,2,14
117487745.0,0,0,15
58743872.0,0,1,15
29371936.0,0,2,15
117487745.0,1,0,15
58743872.0,1,1,15
29371936.0,1,2,15
29371936.0,2,0,15
117487745.0,2,1,15
58743872.0,2,2,15
126886765.0,0,0,16
63443382.0,0,1,16
31721691.0,0,2,16
126886765.0,1,0,16
63443382.0,1,1,16
31721691.0,1,2,16
31721691.0,2,0,16
126886765.0,2,1,16
63443382.0,2,2,16
137037706.0,0,0,17
68518853.0,0,1,17
34259426.0,0,2,17
137037706.0,1,0,17
68518853.0,1,1,17
34259426.0,1,2,17
34259426.0,2,0,17
137037706.0,2,1,17
68518853.0,2,2,17
148000722.0,0,0,18
74000361.0,0,1,18
37000181.0,0,2,18
148000722.0,1,0,18
74000361.0,1,1,18
37000181.0,1,2,18
37000181.0,2,0,18
148000722.0,2,1,18
74000361.0,2,2,18
159840780.0,0,0,19
79920390.0,0,1,19
39960195.0,0,2,19
159840780.0,1,0,19
79920390.0,1,1,19
39960195.0,1,2,19
39960195.0,2,0,19
159840780.0,2,1,19
79920390.0,2,2,19
172628042.0,0,0,20
86314021.0,0,1,20
43157011.0,0,2,20
172628042.0,1,0,20
86314021.0,1,1,20
43157011.0,1,2,20
43157011.0,2,0,20
172628042.0,2,1,20
86314021.0,2,2,20
186438286.0,0,0,21
93219143.0,0,1,21
46609571.0,0,2,21
186438286.0,1,0,21
93219143.0,1,1,21
46609571.0,1,2,21
46609571.0,2,0,21
186438286.0,2,1,21
93219143.0,2,2,21
201353349.0,0,0,22
100676674.0,0,1,22
50338337.0,0,2,22
201353349.0,1,0,22
100676674.0,1,1,22
50338337.0,1,2,22
50338337.0,2,0,22
201353349.0,2,1,22
100676674.0,2,2,22
217461617.0,0,0,23
108730808.0,0,1,23
54365404.0,0,2,23
217461617.0,1,0,23
108730808.0,1,1,23
54365404.0,1,2,23
54365404.0,2,0,23
217461617.0,2,1,23
108730808.0,2,2,23
234858546.0,0,0,24
117429273.0,0,1,24
58714636.0,0,2,24
234858546.0,1,0,24
117429273.0,1,1,24
58714636.0,1,2,24
58714636.0,2,0,24
234858546.0,2,1,24
117429273.0,2,2,24
